region,temp_avg_c_region_mean,temp_avg_c_region_std,temp_avg_c_upper_z3,temp_avg_c_lower_z3,temp_max_c_region_mean,temp_max_c_region_std,temp_max_c_upper_z3,temp_max_c_lower_z3,temp_min_c_region_mean,temp_min_c_region_std,temp_min_c_upper_z3,temp_min_c_lower_z3,precipitation_mm_region_mean,precipitation_mm_region_std,precipitation_mm_upper_z3,precipitation_mm_lower_z3,solar_radiation_kwh_m2_region_mean,solar_radiation_kwh_m2_region_std,solar_radiation_kwh_m2_upper_z3,solar_radiation_kwh_m2_lower_z3,wind_speed_ms_region_mean,wind_speed_ms_region_std,wind_speed_ms_upper_z3,wind_speed_ms_lower_z3,wind_direction_deg_region_mean,wind_direction_deg_region_std,wind_direction_deg_upper_z3,wind_direction_deg_lower_z3
Alberta_Canada,4.300498903508772,12.138064937672583,40.714693716526526,-32.11369590950898,9.480811403508772,13.129938563064295,48.87062709270166,-29.909004285684112,-0.8036842105263158,11.288658987919353,33.062292753231745,-34.66966117428437,1.385559210526316,3.25010916138926,11.135886694694095,-8.364768273641465,3.527175453047776,2.218577225582906,10.182907129796494,-3.128556223700942,4.249720394736842,1.6114837061764709,9.084171513266256,-0.5847307237925703,221.67099780701756,91.72020995863906,496.8316276829347,-53.489632068899596
Amarillo_TX,16.08343201754386,9.941552880627667,45.90809065942686,-13.741226624339138,24.057867324561403,10.287305637064273,54.91978423575422,-6.804049586631418,9.194605263157895,9.52578607741345,37.771963495398246,-19.382752969082453,1.3188706140350877,4.22772378734552,14.002041976071647,-11.36430074800147,5.2569410439560444,2.023302616336825,11.32684889296652,-0.8129668050544305,5.172713815789474,1.70403851669515,10.284829365874923,0.060598265704023824,188.84396929824564,85.75558902912665,446.1107363856256,-68.42279778913431
Cushing_Oklahoma,16.730871710526316,10.256905553194018,47.50158837010837,-14.039844949055741,23.36600328947368,10.511140978780489,54.89942622581515,-8.167419646867785,10.77607456140351,10.07551981576111,41.00263400868684,-19.450484885879817,2.5559813596491225,7.017310038567579,23.60791147535186,-18.49594875605361,4.634955439560439,2.0815195052509226,10.879513955313207,-1.6096030761923288,4.740597587719298,1.8921437091388336,10.4170287151358,-0.9358335396972022,175.2610197368421,93.02152323064168,454.3255894287671,-103.80354995508296
Dallas_TX,19.674418859649123,9.49863161273937,48.17031369786723,-8.821475978568987,26.134490131578946,9.77781208527188,55.467926387394584,-3.1989461242366914,13.825054824561404,9.404205516750006,42.037671374811424,-14.387561725688615,2.3745614035087717,6.511067325949827,21.90776338135825,-17.15864057434071,4.7766363186813185,2.015254834415662,10.822400821928305,-1.269128184565667,4.351672149122807,1.7016265652620988,9.456551844909104,-0.7532075466634893,172.50328947368422,88.60633016055773,438.32227995535743,-93.31570100798899
Houston_US,21.575350877192985,7.884605419394778,45.229167135377324,-2.07846538099135,28.082894736842103,8.095527662735648,52.36947772504905,3.7963117486351585,16.141348684210527,8.161866110788791,40.6269470165769,-8.344249648155845,2.855361842105263,6.794737862692065,23.239575430181457,-17.52885174597093,4.6806993406593405,1.870390406851,10.291870561212342,-0.93047187989366,3.239720394736842,1.23299548669679,6.9387068548272115,-0.4592660653535279,159.44150219298245,88.59131962831043,425.21546107791374,-106.33245669194883
Midland_TX,19.368333333333332,9.395800083358328,47.55573358340831,-8.81906691674165,27.347845394736844,9.57066170436264,56.05983050782476,-1.3641397183510762,12.34373355263158,9.17959518640909,39.882519111858855,-15.195052006595692,0.9509484649122807,3.8193066763866526,12.40886849407224,-10.506971564247676,5.660402307692308,1.8458250006021382,11.197877309498722,0.12292730588589329,4.904424342105263,1.599979462902893,9.70436273081394,0.10448595339658429,174.5453947368421,77.10534480242838,405.8614291441272,-56.770639670443046
North_Sea_Norway,9.705740131578947,3.7372663161367456,20.917539079989183,-1.50605881683129,10.322450657894738,3.677068935276771,21.35365746372505,-0.7087561479355742,9.030383771929824,3.8399075696386062,20.550106480845642,-2.4893389369859946,3.9373739035087723,5.577224093649382,20.669046184456917,-12.794298377439373,2.3970750686436024,2.0741483845088076,8.619520222170024,-3.82537008488282,7.515767543859649,3.430464267922559,17.807160347627324,-2.7756252599080273,206.96282894736842,95.16450323937984,492.45633866550793,-78.53068077077111
Permian_Basin_US,19.159172149122806,9.361435910657626,47.24347988109568,-8.925135582850071,27.159566885964914,9.526936082097123,55.74037513225628,-1.421241360326455,12.019753289473684,9.109941408587614,39.349577515236525,-15.310070936289158,0.9388815789473685,3.8199715471696183,12.398796220456223,-10.521033062561486,5.660402307692308,1.8458250006021382,11.197877309498722,0.12292730588589329,4.7983223684210525,1.5404451605365936,9.419657850030834,0.17698688681127184,172.12872807017544,77.37958576575495,404.2674853674403,-60.01002922708943
Qatar_LNG,28.488256578947368,6.976421714026253,49.417521721026134,7.558991436868606,34.40600877192983,7.839912048210434,57.92574491656113,10.886272627298524,23.64128289473684,6.248198414968715,42.38587813964298,4.896687649830696,0.2085142543859649,1.7645058814950743,5.502031898871188,-5.085003390099258,5.283393907793633,1.376868464228968,9.413999300480537,1.1527885151067299,4.340032894736842,1.9653711093280593,10.23614622272102,-1.5560804332473364,248.3501096491228,115.65215807570942,595.3065838762511,-98.6063645780055
Rotterdam_Netherlands,11.689665570175439,5.788647272386003,29.05560738733345,-5.676276246982571,14.360520833333334,6.372552283266624,33.478177683133204,-4.7571360164665375,9.079281798245614,5.305291656516139,24.99515676779403,-6.836593171302802,2.416299342105263,3.889853667964696,14.085860345999352,-9.253261661788825,3.141243358946213,2.193949728170399,9.72309254345741,-3.4406058255649845,5.663607456140351,2.377014988161261,12.794652420624136,-1.4674375083434326,195.7126096491228,94.72898134538917,479.89955368529036,-88.4743343870447
San_Antonio_TX,21.87512609649123,8.055063577871577,46.04031683010596,-2.2900646371235,29.156052631578948,8.24135011822864,53.88010298626487,4.4320022768930265,15.777412280701755,8.16647263894087,40.27683019752437,-8.722005636120857,1.5931907894736843,4.2901945524234915,14.463774446744159,-11.27739286779679,4.923302912087912,1.930520618472579,10.714864767505649,-0.868258943329824,4.034862938596492,1.4122463686159838,8.271602044444442,-0.20187616725146018,144.00668859649124,78.03070389680184,378.0988002868968,-90.08542309391427
Singapore,27.369824561403508,0.9297795065531215,30.15916308106287,24.580486041744145,29.574183114035087,1.1461161927982553,33.01253169242985,26.13583453564032,25.63105811403509,0.928285527011949,28.415914695070935,22.846201532999242,13.805646929824562,21.08601069632107,77.06367901878777,-49.45238515913864,4.529152085620198,1.1921430847663919,8.105581339919373,0.9527228313210223,2.7901480263157894,0.8984097183133647,5.485377181255883,0.09491887137569543,149.97225877192983,101.02635686439066,453.0513293651018,-153.10681182124216
Tyler_TX,19.421019736842105,8.976758229882716,46.351294426490256,-7.509254952806042,25.656885964912284,9.260064507649878,53.437079487861915,-2.1233075580373466,13.804797149122807,8.971806132531423,40.72021554671708,-13.110621248471462,3.523985745614035,9.001807459256844,30.529408123384563,-23.481436632156495,4.690416483516484,2.0376147852813324,10.80326083936048,-1.4224278723275132,3.2829934210526317,1.1959380548357923,6.870807585560009,-0.3048207434547452,169.68662280701756,87.39719211807797,431.8781991612515,-92.50495354721636
